Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41585,3:18-cv-00246-wmc                       ,wmc,2018-04-09,,2018-10-12,555,2018-04-09,Prisoner Petitions,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-04-09
41596,3:18-cv-00249-wmc                       ,wmc,2018-04-11,2020-09-08,2021-04-20,555,2020-09-08,Prisoner Petitions,10,cmp                      ,1,cmp                      ,cmp     ,11,2018-04-11
41598,3:18-cv-00250-wmc                       ,wmc,2018-04-11,,2020-12-02,550,2018-04-11,Prisoner Petitions,21,cmp                      ,1,cmp                      ,cmp     ,22,2018-04-11
41600,3:18-cv-00253-wmc                       ,wmc,2018-04-12,,2020-02-04,555,2018-04-12,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-04-12
41602,3:18-cv-00255-bbc                       ,bbc,2018-04-12,,2018-04-18,555,2018-04-12,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-04-12
41607,3:18-cv-00259-wmc                       ,wmc,2018-04-13,,2019-10-09,555,2018-04-13,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-04-13
41620,3:18-cv-00267-wmc                       ,wmc,2018-04-16,,2019-09-26,550,2018-04-16,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-04-16
41621,3:18-cv-00268-bbc                       ,bbc,2018-04-16,,2018-05-31,550,2018-04-16,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-04-16
41631,3:18-cv-00276-jdp                       ,jdp,2018-04-18,,2018-04-27,440,2018-04-18,Civil Rights,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-04-13
41643,3:18-cv-00277-slc                       ,slc,2018-04-18,,2020-09-08,550,2018-04-18,Prisoner Petitions,20,cmp                      ,1,cmp                      ,cmp     ,21,2018-04-18
41648,3:18-cv-00282-wmc                       ,wmc,2018-04-19,,2018-09-19,550,2018-04-19,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-04-19
