de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
41204,29,oth_ord                  ,,motion                   ,dummyscr,30,2018-03-09,2018-03-09T12:38:34,24419,jef ,Joanne Friedl,crt,clk
41394,22,motion                   ,,motion                   ,dummyscr,23,2018-03-12,2018-03-12T14:27:39,24419,jef ,Joanne Friedl,crt,clk
40385,45,oth_ord                  ,,motion                   ,dummyscr,46,2018-03-19,2018-03-19T14:54:50,661013,nln ,Nicole Nelson,crt,clk
35572,18,oth_ord                  ,,motion                   ,dummyscr,19,2014-08-06,2014-08-06T15:25:19,20,elc ,Erica Clark,crt,clk
35767,24,oth_ord                  ,,motion                   ,dummyscr,25,2014-09-24,2014-09-24T10:42:02,24419,jef ,Joanne Friedl,crt,clk
41368,27,oth_ord                  ,,motion                   ,dummyscr,28,2018-03-30,2018-03-30T15:21:00,24419,jef ,Joanne Friedl,crt,clk
41502,19,oth_ord                  ,,motion                   ,dummyscr,20,2018-04-03,2018-04-03T14:49:02,20,elc ,Erica Clark,crt,clk
41474,22,oth_ord                  ,,motion                   ,dummyscr,23,2018-04-06,2018-04-06T16:31:20,661013,nln ,Nicole Nelson,crt,clk
41669,24,oth_ord                  ,,motion                   ,dummyscr,25,2018-04-30,2018-04-30T16:01:35,24419,jef ,Joanne Friedl,crt,clk
41809,36,oth_ord                  ,,motion                   ,dummyscr,37,2018-05-14,2018-05-14T15:27:44,24419,jef ,Joanne Friedl,crt,clk
41835,18,oth_ord                  ,,motion                   ,dummyscr,19,2018-05-17,2018-05-17T15:09:23,20,elc ,Erica Clark,crt,clk
41807,31,oth_ord                  ,,motion                   ,dummyscr,32,2018-05-25,2018-05-25T11:44:41,661013,nln ,Nicole Nelson,crt,clk
41756,23,oth_ord                  ,,motion                   ,dummyscr,24,2018-05-29,2018-05-29T16:25:52,661013,nln ,Nicole Nelson,crt,clk
41875,19,oth_ord                  ,,motion                   ,dummyscr,20,2018-06-07,2018-06-07T16:35:32,24419,jef ,Joanne Friedl,crt,clk
41974,29,oth_ord                  ,,motion                   ,dummyscr,30,2018-06-14,2018-06-14T15:04:10,661013,nln ,Nicole Nelson,crt,clk
42059,18,oth_ord                  ,,motion                   ,dummyscr,19,2018-06-21,2018-06-21T14:02:17,661013,nln ,Nicole Nelson,crt,clk
41849,35,oth_ord                  ,,motion                   ,dummyscr,36,2018-07-13,2018-07-13T14:16:18,661013,nln ,Nicole Nelson,crt,clk
43041,19,oth_ord                  ,,motion                   ,dummyscr,20,2018-12-17,2018-12-17T09:18:22,1353789,rks ,Rachel Swanson,crt,clk
40288,37,oth_ord                  ,,motion                   ,dummyscr,38,2017-07-14,2017-07-14T10:54:58,661013,nln ,Nicole Nelson,crt,clk
42185,53,oth_ord                  ,,motion                   ,dummyscr,54,2018-07-19,2018-07-19T15:10:27,24419,jef ,Joanne Friedl,crt,clk
42121,31,oth_ord                  ,,motion                   ,dummyscr,32,2018-07-23,2018-07-23T16:15:29,20,elc ,Erica Clark,crt,clk
43044,19,oth_ord                  ,,motion                   ,dummyscr,20,2018-12-17,2018-12-17T09:18:22,1353789,rks ,Rachel Swanson,crt,clk
41669,41,oth_ord                  ,,motion                   ,dummyscr,42,2018-07-27,2018-07-27T12:58:50,20,elc ,Erica Clark,crt,clk
42220,39,oth_ord                  ,,motion                   ,dummyscr,40,2018-07-30,2018-07-30T12:59:23,661013,nln ,Nicole Nelson,crt,clk
42019,40,oth_ord                  ,,motion                   ,dummyscr,41,2018-08-16,2018-08-16T15:08:08,20,elc ,Erica Clark,crt,clk
42338,41,oth_ord                  ,,motion                   ,dummyscr,42,2018-08-28,2018-08-28T14:44:35,20,elc ,Erica Clark,crt,clk
42481,36,oth_ord                  ,,motion                   ,dummyscr,37,2018-09-10,2018-09-10T15:06:04,661013,nln ,Nicole Nelson,crt,clk
42485,29,oth_ord                  ,,motion                   ,dummyscr,30,2018-10-10,2018-10-10T16:12:39,24419,jef ,Joanne Friedl,crt,clk
42698,18,oth_ord                  ,,motion                   ,dummyscr,19,2018-10-18,2018-10-18T09:03:08,661013,nln ,Nicole Nelson,crt,clk
42158,91,oth_ord                  ,,motion                   ,dummyscr,92,2018-10-18,2018-10-18T14:37:51,24419,jef ,Joanne Friedl,crt,clk
42723,19,oth_ord                  ,,motion                   ,dummyscr,20,2018-10-29,2018-10-29T13:03:24,661013,nln ,Nicole Nelson,crt,clk
42694,30,oth_ord                  ,,motion                   ,dummyscr,31,2018-11-06,2018-11-06T16:28:34,24419,jef ,Joanne Friedl,crt,clk
42790,29,oth_ord                  ,,motion                   ,dummyscr,30,2018-11-13,2018-11-13T16:45:26,661013,nln ,Nicole Nelson,crt,clk
42793,28,oth_ord                  ,,motion                   ,dummyscr,29,2018-11-16,2018-11-16T16:08:14,661013,nln ,Nicole Nelson,crt,clk
42740,31,oth_ord                  ,,motion                   ,dummyscr,32,2018-11-28,2018-11-28T10:08:20,661013,nln ,Nicole Nelson,crt,clk
42780,43,oth_ord                  ,,motion                   ,dummyscr,44,2018-11-28,2018-11-28T10:08:56,661013,nln ,Nicole Nelson,crt,clk
43002,16,oth_ord                  ,,motion                   ,dummyscr,17,2018-12-07,2018-12-07T14:07:10,1353789,rks ,Rachel Swanson,crt,clk
43003,17,oth_ord                  ,,motion                   ,dummyscr,18,2018-12-07,2018-12-07T14:07:10,1353789,rks ,Rachel Swanson,crt,clk
43027,34,oth_ord                  ,,motion                   ,dummyscr,35,2019-01-11,2019-01-11T15:31:01,661013,nln ,Nicole Nelson,crt,clk
